nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x,Relbow_y,Rwrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,class
0.32,0.04,0.31,0.07,0.31,0.07,0.31,0.12,0.33,0.15,0.32,0.07,0,0,0,0,0.32,0.17,0.33,0.22,0.31,0.26,0.33,0.16,0.34,0.19,0.35,0.25,0.32,0.03,0,0,0.31,0.04,0,0,walk
0.34,0.04,0.32,0.06,0.32,0.06,0.32,0.12,0.33,0.15,0.33,0.06,0,0,0,0,0.33,0.15,0.35,0.2,0.35,0.25,0.34,0.15,0.35,0.2,0.35,0.25,0.34,0.03,0.34,0.03,0.32,0.03,0,0,walk
0.35,0.03,0.34,0.06,0.34,0.06,0.33,0.12,0.34,0.16,0.35,0.06,0.36,0.09,0.38,0.1,0.35,0.16,0.35,0.2,0.35,0.25,0.35,0.15,0.37,0.2,0.38,0.25,0.35,0.03,0,0,0.34,0.03,0,0,walk
0.36,0.03,0.35,0.06,0.34,0.06,0.34,0.12,0.34,0.16,0.35,0.06,0.37,0.09,0.39,0.1,0.37,0.16,0.38,0.2,0.4,0.25,0.36,0.16,0.36,0.2,0.35,0.25,0.36,0.03,0,0,0.35,0.03,0,0,walk
0.36,0.03,0.35,0.06,0.34,0.06,0.34,0.1,0.34,0.16,0.36,0.06,0.37,0.09,0.39,0.1,0.37,0.16,0.38,0.2,0.4,0.25,0.36,0.16,0.36,0.2,0.35,0.25,0.36,0.03,0,0,0.35,0.03,0,0,walk
0.36,0.03,0.35,0.06,0.34,0.06,0.34,0.1,0.34,0.16,0.36,0.06,0.37,0.09,0.39,0.1,0.37,0.16,0.38,0.2,0.4,0.25,0.36,0.16,0.36,0.2,0.35,0.25,0.36,0.03,0,0,0.35,0.03,0,0,walk
0.37,0.03,0.37,0.04,0.36,0.06,0.35,0.1,0.36,0.16,0.37,0.04,0.38,0.09,0.4,0.1,0.37,0.15,0.39,0.2,0.4,0.26,0.38,0.15,0.38,0.2,0.37,0.23,0.37,0.03,0,0,0.37,0.03,0,0,walk
0.4,0.03,0.4,0.04,0.38,0.04,0.37,0.1,0.38,0.12,0.41,0.04,0.42,0.09,0.42,0.12,0.39,0.15,0.4,0.2,0.4,0.25,0.42,0.13,0.43,0.19,0.45,0.25,0.39,0.02,0.4,0.02,0.38,0.02,0.4,0,walk
0.4,0.03,0.4,0.04,0.38,0.04,0.38,0.09,0.38,0.13,0.42,0.04,0.43,0.09,0.43,0.12,0.4,0.15,0.4,0.2,0.4,0.25,0.42,0.15,0.43,0.2,0.44,0.25,0.4,0.02,0.4,0.02,0.39,0.02,0.41,0,walk
0.4,0.03,0.4,0.04,0.38,0.04,0.38,0.09,0.38,0.13,0.42,0.04,0.43,0.09,0.43,0.12,0.4,0.15,0.4,0.2,0.4,0.25,0.42,0.15,0.43,0.2,0.44,0.25,0.4,0.02,0.4,0.02,0.39,0.02,0.41,0,walk
0.41,0.03,0.42,0.04,0.4,0.04,0.39,0.09,0.38,0.13,0.43,0.03,0.45,0.07,0.45,0.12,0.41,0.15,0.41,0.2,0.42,0.25,0.43,0.13,0.44,0.2,0.45,0.25,0.41,0.02,0.41,0.02,0.4,0.02,0.42,0,walk
0,0,0.42,0.03,0.43,0.03,0.45,0.07,0.46,0.13,0.41,0.04,0.4,0.07,0.39,0.12,0.43,0.13,0.43,0.2,0.44,0.25,0.42,0.13,0.43,0.2,0.45,0.25,0,0,0,0,0,0,0.41,0,walk
0.41,0.02,0.43,0.03,0.42,0.03,0.42,0.09,0.41,0.12,0.43,0.03,0.44,0.09,0.44,0.13,0.42,0.13,0.43,0.19,0.45,0.25,0.43,0.13,0.43,0.19,0.45,0.25,0,0,0.41,0.02,0,0,0.42,0,walk
0.41,0.02,0.43,0.03,0,0,0,0,0,0,0.43,0.03,0.43,0.09,0.42,0.13,0.44,0.13,0.43,0.19,0.45,0.23,0.43,0.13,0.43,0.19,0.44,0.25,0,0,0.41,0,0,0,0.42,0,walk
0.4,0.02,0.43,0.03,0.43,0.02,0,0,0,0,0.42,0.03,0.42,0.09,0.42,0.13,0.45,0.13,0.45,0.19,0.45,0.25,0.43,0.13,0.43,0.2,0.43,0.26,0,0,0.4,0.02,0,0,0.41,0,walk
0.4,0.03,0.43,0.03,0.43,0.02,0,0,0,0,0.42,0.04,0.42,0.09,0.42,0.15,0.45,0.12,0.45,0.19,0.45,0.25,0.43,0.13,0.43,0.2,0.43,0.26,0,0,0.4,0.02,0,0,0.41,0,walk
0.4,0.03,0.42,0.03,0.43,0.02,0,0,0,0,0.42,0.03,0.42,0.09,0.42,0.15,0.45,0.12,0.45,0.19,0.45,0.25,0.43,0.13,0.43,0.2,0.43,0.26,0,0,0.4,0.02,0,0,0.41,0,walk
0.4,0.03,0.43,0.03,0.44,0.03,0.45,0.07,0,0,0.41,0.04,0.42,0.09,0.42,0.15,0.45,0.12,0.45,0.19,0.45,0.25,0.43,0.13,0.43,0.2,0.43,0.26,0,0,0.4,0.02,0,0,0.41,0,walk
0.4,0.03,0.43,0.03,0.45,0.03,0.45,0.07,0,0,0.42,0.04,0.42,0.09,0.42,0.15,0.45,0.13,0.45,0.19,0.45,0.25,0.43,0.15,0.43,0.2,0.43,0.26,0,0,0.4,0.02,0,0,0.41,0,walk
0.4,0.02,0.43,0.03,0.45,0.03,0.45,0.07,0,0,0.42,0.03,0.42,0.09,0.42,0.15,0.45,0.12,0.45,0.19,0.45,0.25,0.43,0.13,0.43,0.2,0.43,0.26,0,0,0.4,0.02,0,0,0.41,0,walk
0.4,0.02,0.43,0.03,0.45,0.02,0.45,0.07,0,0,0.42,0.03,0.42,0.09,0.42,0.13,0.45,0.13,0.45,0.19,0.45,0.25,0.43,0.13,0.43,0.19,0.43,0.26,0,0,0.4,0.02,0,0,0.41,0,walk
0.4,0.02,0.43,0.02,0.44,0.02,0.45,0.06,0,0,0.42,0.03,0.42,0.09,0.42,0.15,0.45,0.13,0.45,0.19,0.45,0.25,0.43,0.13,0.42,0.19,0.43,0.25,0,0,0.4,0.02,0,0,0.41,0,walk
0.4,0.02,0.43,0.03,0.44,0.02,0.45,0.07,0,0,0.42,0.03,0.42,0.09,0.42,0.15,0.45,0.13,0.45,0.19,0.45,0.25,0.43,0.13,0.42,0.19,0.43,0.25,0,0,0.4,0.02,0,0,0.41,0,walk
0.4,0.02,0.43,0.03,0.44,0.02,0.45,0.07,0,0,0.42,0.03,0.42,0.09,0.42,0.15,0.45,0.13,0.45,0.19,0.45,0.25,0.43,0.13,0.42,0.19,0.43,0.25,0,0,0.4,0.02,0,0,0.41,0,walk
0,0,0.33,0.06,0.34,0.06,0.35,0.09,0,0,0.32,0.07,0.31,0.12,0.32,0.15,0.35,0.13,0.36,0.17,0.35,0.22,0.33,0.15,0.33,0.17,0.34,0.22,0,0,0,0,0.33,0.03,0.32,0.04,walk
0,0,0.33,0.04,0.34,0.04,0.36,0.07,0.36,0.09,0.32,0.06,0.31,0.1,0.32,0.13,0.35,0.12,0.37,0.16,0.37,0.22,0.33,0.13,0.34,0.17,0.34,0.22,0,0,0,0,0.33,0.02,0.32,0.02,walk
0,0,0.34,0.04,0.35,0.03,0.37,0.07,0.37,0.1,0.32,0.04,0.32,0.1,0.32,0.07,0.35,0.12,0.37,0.16,0.38,0.22,0.34,0.13,0.34,0.17,0.34,0.23,0,0,0,0,0.34,0.02,0.32,0.02,walk
0,0,0.34,0.04,0.35,0.03,0.37,0.06,0.37,0.1,0.33,0.04,0.32,0.1,0.32,0.13,0.36,0.12,0.37,0.16,0.39,0.22,0.34,0.13,0.34,0.17,0.34,0.23,0,0,0,0,0.34,0,0.33,0.02,walk
0,0,0.34,0.04,0.35,0.03,0.37,0.06,0.37,0.1,0.33,0.04,0.32,0.1,0.32,0.13,0.36,0.12,0.37,0.16,0.39,0.22,0.34,0.13,0.34,0.17,0.34,0.23,0,0,0,0,0.34,0,0.33,0.02,walk
0,0,0.35,0.03,0.37,0.03,0.38,0.07,0.38,0.12,0.34,0.04,0.34,0.09,0.34,0.12,0.37,0.12,0.38,0.16,0.39,0.22,0.35,0.12,0.35,0.17,0.34,0.22,0,0,0.34,0.02,0.35,0,0.34,0.02,walk
0,0,0.36,0.03,0.37,0.02,0.38,0.07,0.38,0.1,0.35,0.03,0.35,0.07,0.35,0.12,0.38,0.1,0.38,0.16,0.39,0.22,0.37,0.12,0.35,0.16,0.37,0.22,0,0,0,0,0,0,0.35,0,walk
0,0,0.36,0.03,0.37,0.02,0.38,0.06,0.38,0.1,0.35,0.03,0.35,0.09,0.35,0.12,0.38,0.1,0.38,0.17,0.39,0.22,0.37,0.12,0.37,0.17,0.37,0.22,0,0,0,0,0,0,0.35,0,walk
0.34,0.02,0.36,0.03,0.37,0.02,0.38,0.06,0,0,0.35,0.03,0.35,0.07,0.35,0.12,0.38,0.1,0.38,0.17,0.39,0.22,0.37,0.12,0.37,0.17,0.37,0.22,0,0,0,0,0,0,0.35,0,walk
0.34,0.02,0.36,0.03,0.37,0.02,0.39,0.06,0.38,0.09,0.35,0.03,0.35,0.07,0.35,0.1,0.38,0.1,0.38,0.16,0.39,0.22,0.37,0.12,0.37,0.17,0.37,0.22,0,0,0.34,0,0,0,0.35,0,walk
0.34,0.02,0.36,0.03,0.37,0.02,0.39,0.06,0.38,0.09,0.35,0.03,0.35,0.07,0.35,0.1,0.38,0.1,0.38,0.16,0.39,0.22,0.37,0.12,0.37,0.17,0.37,0.22,0,0,0.34,0,0,0,0.35,0,walk
0.34,0,0.36,0.02,0.37,0.02,0.39,0.04,0.39,0.09,0.35,0.03,0.35,0.07,0.35,0.1,0.38,0.1,0.38,0.16,0.39,0.22,0.36,0.12,0.37,0.17,0.37,0.22,0,0,0,0,0,0,0.35,0,walk
0,0,0.36,0.03,0.37,0.02,0.39,0.04,0.39,0.09,0.34,0.03,0.35,0.07,0.36,0.09,0.38,0.1,0.38,0.16,0.38,0.22,0.36,0.12,0.37,0.17,0.37,0.22,0,0,0,0,0,0,0.34,0,walk
0,0,0.36,0.03,0.37,0.02,0.39,0.04,0.38,0.09,0.34,0.03,0.35,0.07,0.36,0.09,0.38,0.1,0.38,0.16,0.38,0.2,0.36,0.12,0.37,0.17,0.37,0.22,0,0,0,0,0,0,0.34,0,walk
0.34,0,0.36,0.02,0.37,0.02,0.39,0.04,0.38,0.09,0.35,0.03,0.35,0.07,0.36,0.09,0.38,0.1,0.38,0.16,0.38,0.2,0.36,0.12,0.37,0.17,0.37,0.22,0,0,0,0,0,0,0.35,0,walk
0,0,0.34,0.06,0.35,0.04,0.37,0.07,0.37,0.1,0.32,0.07,0.33,0.12,0.34,0.15,0.37,0.12,0.37,0.16,0.38,0.22,0.35,0.13,0.35,0.17,0.35,0.22,0,0,0,0,0.34,0.03,0.32,0.04,walk
0,0,0.35,0.04,0.36,0.03,0.38,0.07,0.38,0.12,0.34,0.06,0.34,0.1,0.34,0.15,0.38,0.12,0.38,0.17,0.39,0.22,0.35,0.13,0.35,0.17,0.35,0.22,0,0,0.33,0.03,0.34,0.02,0.34,0.03,walk
0.34,0.04,0.35,0.04,0.37,0.03,0.38,0.07,0.38,0.12,0.35,0.06,0.35,0.1,0.35,0.13,0.38,0.12,0.38,0.17,0.39,0.22,0.36,0.13,0.35,0.19,0.35,0.22,0,0,0.34,0.03,0,0,0.34,0.03,walk
0.34,0.03,0.37,0.03,0.38,0.03,0.39,0.07,0.4,0.12,0.35,0.04,0.35,0.12,0.35,0.13,0.39,0.12,0.39,0.17,0.4,0.23,0.37,0.13,0.37,0.17,0.38,0.23,0,0,0.34,0.02,0,0,0.35,0.02,walk
0.34,0.03,0.37,0.03,0.38,0.03,0.39,0.07,0.4,0.1,0.35,0.04,0.35,0.1,0.35,0.13,0.39,0.12,0.39,0.17,0.4,0.23,0.37,0.13,0.37,0.17,0.38,0.23,0,0,0.34,0.02,0,0,0.35,0.02,walk
0.35,0.03,0.37,0.04,0.38,0.03,0.4,0.07,0.4,0.1,0.35,0.04,0.35,0.1,0.35,0.13,0.39,0.12,0.39,0.17,0.4,0.25,0.37,0.13,0.38,0.19,0.39,0.25,0,0,0.35,0.03,0,0,0.35,0.02,walk
0.35,0.04,0.37,0.04,0.38,0.03,0.4,0.07,0.4,0.1,0.36,0.06,0.35,0.1,0.35,0.13,0.4,0.12,0.4,0.17,0.4,0.25,0.38,0.13,0.38,0.19,0.39,0.25,0,0,0.35,0.03,0,0,0.35,0.03,walk
0.35,0.03,0.37,0.04,0.39,0.03,0.4,0.06,0,0,0.37,0.04,0.36,0.1,0.35,0.13,0.4,0.12,0.4,0.19,0.41,0.25,0.38,0.13,0.38,0.19,0.39,0.25,0,0,0.35,0.03,0,0,0.36,0.02,walk
0.35,0.04,0.38,0.04,0.39,0.03,0.4,0.07,0,0,0.37,0.04,0.37,0.1,0.36,0.15,0.4,0.12,0.41,0.19,0.42,0.25,0.38,0.13,0.38,0.2,0.39,0.25,0,0,0.35,0.03,0,0,0.36,0.03,walk
0.37,0.04,0.38,0.04,0.4,0.03,0,0,0,0,0.38,0.06,0.38,0.1,0.39,0.15,0.42,0.13,0.42,0.2,0.43,0.25,0.4,0.15,0.39,0.2,0.39,0.25,0,0,0.36,0.03,0,0,0.37,0.03,walk
0.37,0.04,0.39,0.04,0.4,0.03,0,0,0,0,0.38,0.04,0.39,0.1,0.4,0.15,0.42,0.13,0.42,0.2,0.43,0.25,0.4,0.13,0.4,0.2,0.4,0.25,0,0,0.37,0.03,0,0,0.37,0.03,walk
0.37,0.04,0.4,0.04,0.41,0.03,0,0,0,0,0.39,0.04,0.39,0.1,0.39,0.15,0.42,0.13,0.42,0.2,0.43,0.26,0.4,0.15,0.4,0.2,0.42,0.28,0,0,0.37,0.03,0,0,0.38,0.02,walk
0.37,0.04,0.4,0.04,0.41,0.03,0,0,0,0,0.39,0.04,0.39,0.1,0.39,0.15,0.42,0.13,0.42,0.2,0.43,0.26,0.4,0.15,0.4,0.2,0.42,0.26,0,0,0.37,0.03,0,0,0.38,0.02,walk
0.37,0.04,0.4,0.04,0.41,0.03,0.43,0.09,0.43,0.12,0.38,0.06,0.38,0.12,0.38,0.15,0.42,0.13,0.43,0.2,0.43,0.26,0.4,0.15,0.41,0.22,0.42,0.28,0,0,0.37,0.03,0,0,0.38,0.03,walk
0.37,0.04,0.4,0.04,0.41,0.04,0.43,0.1,0,0,0.38,0.06,0.38,0.12,0.37,0.16,0.43,0.15,0.43,0.2,0.43,0.26,0.4,0.16,0.41,0.22,0.42,0.28,0,0,0.37,0.04,0,0,0.38,0.03,walk
0.37,0.04,0.4,0.04,0.41,0.04,0.43,0.09,0,0,0.38,0.06,0.38,0.12,0.38,0.16,0.43,0.15,0.43,0.2,0.44,0.26,0.4,0.16,0.41,0.22,0.42,0.28,0,0,0.37,0.04,0,0,0.38,0.03,walk
0.37,0.04,0.4,0.06,0.41,0.04,0.43,0.09,0,0,0.38,0.06,0.38,0.13,0.38,0.17,0.43,0.15,0.43,0.22,0.45,0.28,0.4,0.16,0.41,0.22,0.42,0.28,0,0,0.37,0.04,0,0,0.38,0.03,walk
0,0,0.4,0.06,0.42,0.04,0.43,0.1,0,0,0.38,0.06,0.38,0.12,0.38,0.16,0.43,0.15,0.44,0.22,0.45,0.28,0.4,0.16,0.41,0.23,0.42,0.28,0,0,0,0,0.4,0.02,0.38,0.03,walk
0,0,0.41,0.04,0.43,0.04,0.44,0.09,0.45,0.13,0.39,0.06,0.39,0.12,0.38,0.16,0.43,0.15,0.44,0.22,0.45,0.28,0.41,0.16,0.42,0.22,0.42,0.29,0,0,0,0,0.4,0.02,0.39,0.03,walk
0,0,0.42,0.04,0.43,0.04,0.45,0.09,0.45,0.13,0.4,0.06,0.4,0.12,0.39,0.15,0.44,0.15,0.44,0.22,0.45,0.28,0.42,0.16,0.42,0.22,0.42,0.28,0,0,0,0,0.42,0.02,0.4,0.02,walk
0,0,0.42,0.04,0.43,0.04,0.45,0.09,0.46,0.13,0.4,0.06,0.4,0.13,0.4,0.15,0.44,0.15,0.44,0.22,0.45,0.28,0.42,0.16,0.42,0.23,0.42,0.29,0,0,0,0,0.42,0.02,0.4,0.02,walk
0,0,0.42,0.04,0.43,0.04,0.45,0.09,0.46,0.13,0.4,0.06,0.4,0.12,0.4,0.15,0.44,0.15,0.44,0.22,0.45,0.28,0.42,0.16,0.42,0.23,0.42,0.29,0,0,0,0,0.42,0.02,0.4,0.02,walk
0.06,0.1,0.05,0.15,0.05,0.15,0.05,0.19,0.06,0.23,0.06,0.15,0.07,0.17,0.08,0.2,0.06,0.22,0.09,0.28,0.1,0.32,0.07,0.22,0.09,0.28,0.1,0.32,0.05,0.1,0,0,0.04,0.12,0,0,walk
0.06,0.1,0.06,0.15,0,0,0,0,0,0,0.06,0.13,0.07,0.16,0.08,0.2,0.07,0.22,0.09,0.28,0.1,0.32,0.08,0.2,0.09,0.28,0.1,0.32,0,0,0,0,0,0,0,0,walk
0.07,0.1,0.06,0.13,0.06,0.15,0.07,0.19,0.09,0.2,0.07,0.13,0,0,0,0,0.08,0.22,0.09,0.26,0.09,0.32,0.08,0.22,0.1,0.25,0.1,0.32,0.07,0.1,0,0,0.06,0.1,0,0,walk
0.08,0.1,0.07,0.13,0.07,0.15,0.08,0.17,0.1,0.2,0.08,0.13,0,0,0,0,0.09,0.22,0.09,0.28,0.1,0.32,0.09,0.22,0.11,0.26,0.12,0.31,0.07,0.1,0,0,0.07,0.1,0,0,walk
0.09,0.1,0.08,0.13,0,0,0,0,0,0,0.09,0.13,0,0,0,0,0.09,0.22,0.1,0.26,0.1,0.32,0.1,0.2,0.12,0.26,0.14,0.29,0,0,0,0,0,0,0,0,walk
0.12,0.09,0.11,0.12,0.1,0.13,0.1,0.17,0.12,0.2,0.12,0.12,0.12,0.15,0.13,0.17,0.12,0.2,0.13,0.26,0.12,0.31,0.13,0.19,0.14,0.25,0.14,0.31,0.11,0.09,0,0,0.1,0.09,0,0,walk
0.12,0.09,0.11,0.12,0.1,0.13,0.1,0.17,0.12,0.2,0.12,0.12,0.13,0.15,0.13,0.17,0.12,0.2,0.13,0.26,0.12,0.31,0.13,0.19,0.14,0.25,0.15,0.31,0.11,0.09,0,0,0.1,0.09,0,0,walk
0.13,0.09,0.12,0.12,0.11,0.13,0.11,0.17,0.12,0.2,0.13,0.12,0.14,0.15,0.16,0.17,0.13,0.19,0.14,0.25,0.15,0.31,0.13,0.19,0.15,0.25,0.15,0.31,0.12,0.07,0,0,0.12,0.09,0,0,walk
0.14,0.09,0.13,0.12,0.12,0.13,0.12,0.17,0.13,0.2,0.14,0.12,0.15,0.13,0.17,0.16,0.13,0.2,0.15,0.25,0.18,0.31,0.15,0.19,0.15,0.25,0.15,0.31,0.13,0.07,0.13,0.07,0.13,0.09,0,0,walk
0.15,0.09,0.14,0.12,0.13,0.12,0.13,0.17,0.13,0.2,0.15,0.1,0.16,0.15,0.18,0.16,0.15,0.2,0.17,0.25,0.19,0.32,0.15,0.19,0.16,0.25,0.15,0.29,0.14,0.07,0.14,0.07,0.13,0.09,0,0,walk
0.16,0.07,0.15,0.1,0.15,0.12,0.15,0.16,0.17,0.19,0.16,0.1,0,0,0,0,0.17,0.2,0.18,0.28,0,0,0.18,0.19,0,0,0,0,0.15,0.07,0,0,0.15,0.07,0,0,walk
0.16,0.07,0.16,0.1,0.15,0.12,0.15,0.16,0.17,0.19,0.17,0.1,0,0,0,0,0.17,0.2,0.18,0.26,0.19,0.32,0.18,0.19,0,0,0,0,0.16,0.07,0,0,0.15,0.07,0,0,walk
0.18,0.09,0.17,0.1,0.17,0.12,0.17,0.16,0.18,0.17,0.18,0.1,0.19,0.15,0,0,0.18,0.2,0.18,0.26,0.19,0.32,0.2,0.19,0.21,0.25,0.23,0.29,0.18,0.07,0.18,0.07,0.17,0.07,0,0,walk
0.2,0.07,0.19,0.1,0.18,0.12,0.18,0.16,0.2,0.19,0.2,0.1,0.21,0.13,0,0,0.2,0.19,0.21,0.25,0.2,0.31,0.21,0.17,0.22,0.23,0.23,0.29,0.19,0.07,0,0,0.18,0.07,0,0,walk
0.2,0.07,0.2,0.1,0.19,0.1,0.19,0.16,0.2,0.19,0.21,0.09,0.22,0.13,0.23,0.16,0.2,0.19,0.21,0.25,0,0,0.21,0.17,0.23,0.25,0.23,0.29,0.2,0.06,0.2,0.06,0.19,0.07,0,0,walk
0.21,0.07,0.2,0.1,0.2,0.1,0.19,0.16,0.2,0.19,0.21,0.09,0.23,0.13,0.24,0.16,0.21,0.19,0.22,0.25,0.23,0.29,0.22,0.17,0.23,0.23,0.24,0.29,0.2,0.06,0.21,0.06,0.2,0.07,0,0,walk
0.21,0.07,0.21,0.1,0.2,0.12,0.2,0.16,0.2,0.2,0.23,0.1,0.24,0.13,0.26,0.15,0.21,0.19,0.23,0.25,0.25,0.31,0.23,0.17,0.23,0.25,0.25,0.31,0.21,0.06,0.21,0.06,0.2,0.07,0,0,walk
0.22,0.07,0.22,0.1,0.21,0.12,0.21,0.16,0.21,0.2,0.23,0.1,0.24,0.13,0.26,0.16,0.23,0.19,0.24,0.25,0.26,0.31,0.24,0.19,0.25,0.23,0.26,0.31,0.22,0.07,0.22,0.06,0.21,0.07,0,0,walk
0.23,0.07,0.23,0.1,0.21,0.12,0.21,0.16,0.22,0.2,0.24,0.09,0.25,0.13,0.26,0.16,0.23,0.19,0.24,0.25,0.26,0.31,0.25,0.19,0.26,0.25,0.26,0.31,0.23,0.07,0.23,0.06,0.21,0.07,0,0,walk
0.23,0.07,0.23,0.1,0.22,0.12,0.22,0.16,0.23,0.2,0.24,0.09,0.25,0.13,0.26,0.17,0.24,0.2,0.24,0.26,0.26,0.31,0.25,0.19,0.27,0.23,0.27,0.29,0.23,0.07,0.23,0.06,0.22,0.07,0,0,walk
0.24,0.07,0.24,0.1,0.23,0.12,0.22,0.16,0.24,0.19,0.25,0.1,0.26,0.13,0.27,0.17,0.24,0.2,0.25,0.26,0.26,0.31,0.26,0.19,0.27,0.25,0.29,0.31,0.23,0.07,0.24,0.06,0.23,0.07,0.24,0.06,walk
