nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x,Relbow_y,Rwrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,class 231->bobei
0.64,0.53,0.58,0.55,0.61,0.57,0.62,0.67,0.64,0.72,0.57,0.51,0.52,0.61,0,0,0.54,0.69,0,0,0,0,0.52,0.65,0,0,0,0,0.64,0.51,0,0,0.63,0.51,0,0,fall_down
0.66,0.55,0.61,0.55,0.63,0.57,0.64,0.67,0.67,0.72,0.59,0.53,0.54,0.61,0,0,0.57,0.69,0,0,0,0,0.54,0.65,0.53,0.69,0.48,0.72,0.66,0.53,0,0,0.64,0.51,0,0,fall_down
0.67,0.55,0.62,0.55,0.63,0.57,0.66,0.67,0.68,0.74,0.61,0.53,0,0,0,0,0.57,0.69,0,0,0,0,0.54,0.67,0,0,0,0,0.67,0.53,0,0,0.66,0.53,0,0,fall_down
0.68,0.55,0.64,0.57,0.66,0.59,0.67,0.67,0.69,0.74,0.62,0.53,0.56,0.65,0.48,0.72,0.62,0.72,0,0,0,0,0.57,0.69,0,0,0,0,0.68,0.53,0,0,0.67,0.53,0,0,fall_down
0,0,0.66,0.57,0.68,0.61,0.68,0.69,0.69,0.74,0.63,0.55,0.56,0.67,0,0,0.62,0.72,0,0,0,0,0.58,0.69,0,0,0,0,0,0,0,0,0.68,0.53,0.66,0.51,fall_down
0,0,0.67,0.57,0.69,0.59,0.69,0.67,0.69,0.74,0.63,0.55,0.61,0.61,0.61,0.63,0.66,0.74,0,0,0,0,0.61,0.72,0.57,0.67,0.54,0.78,0,0,0,0,0.69,0.53,0.67,0.51,fall_down
0,0,0.67,0.57,0.69,0.59,0.69,0.67,0.69,0.74,0.63,0.57,0.61,0.63,0,0,0.67,0.74,0,0,0,0,0.62,0.72,0.57,0.67,0.5,0.76,0,0,0,0,0.69,0.53,0.67,0.51,fall_down
0,0,0.67,0.59,0.71,0.59,0.71,0.67,0.69,0.74,0.64,0.59,0.61,0.65,0,0,0.67,0.76,0,0,0,0,0.63,0.74,0.57,0.69,0.5,0.76,0,0,0,0,0.69,0.53,0.66,0.53,fall_down
0,0,0.67,0.61,0.71,0.61,0.71,0.69,0.69,0.74,0.64,0.61,0.61,0.67,0,0,0.67,0.78,0,0,0,0,0.63,0.76,0,0,0,0,0,0,0,0,0.69,0.53,0.66,0.55,fall_down
0,0,0.68,0.61,0.71,0.61,0.71,0.69,0.69,0.74,0.64,0.61,0.62,0.67,0,0,0.68,0.76,0,0,0,0,0.64,0.76,0,0,0,0,0,0,0,0,0.69,0.55,0.66,0.55,fall_down
0,0,0.68,0.61,0.71,0.61,0.71,0.69,0.69,0.74,0.64,0.63,0.62,0.67,0,0,0.68,0.78,0,0,0,0,0.64,0.78,0.58,0.69,0,0,0,0,0,0,0.68,0.55,0.66,0.55,fall_down
0,0,0.67,0.61,0.71,0.61,0.71,0.69,0.69,0.74,0.64,0.63,0.62,0.67,0,0,0.68,0.76,0,0,0,0,0.64,0.76,0.58,0.69,0,0,0,0,0,0,0.68,0.55,0.66,0.55,fall_down
0,0,0.67,0.61,0.69,0.61,0.71,0.67,0.69,0.74,0.64,0.63,0.62,0.67,0,0,0.68,0.78,0,0,0,0,0.64,0.76,0,0,0,0,0,0,0,0,0.68,0.55,0.66,0.55,fall_down
0,0,0.67,0.61,0.69,0.59,0.69,0.67,0.69,0.74,0.64,0.61,0.61,0.67,0,0,0.67,0.76,0,0,0,0,0.64,0.76,0.57,0.69,0.5,0.76,0,0,0,0,0.68,0.55,0.64,0.55,fall_down
0,0,0.67,0.59,0.69,0.59,0.69,0.69,0.69,0.74,0.63,0.61,0.61,0.67,0,0,0.67,0.76,0,0,0,0,0.63,0.76,0,0,0,0,0,0,0,0,0.68,0.53,0.66,0.53,fall_down
0,0,0.67,0.59,0.69,0.59,0.69,0.69,0.69,0.74,0.63,0.59,0.61,0.65,0,0,0.67,0.76,0,0,0,0,0.63,0.76,0.57,0.67,0.5,0.76,0,0,0,0,0.68,0.53,0.66,0.53,fall_down
0,0,0.67,0.59,0.69,0.59,0.69,0.67,0.69,0.74,0.63,0.57,0.61,0.61,0,0,0.66,0.74,0,0,0,0,0.62,0.74,0,0,0,0,0,0,0,0,0.69,0.53,0.66,0.51,fall_down
0,0,0.67,0.59,0.69,0.59,0.69,0.67,0.69,0.74,0.63,0.57,0.61,0.61,0.61,0.63,0.67,0.74,0,0,0,0,0.63,0.72,0,0,0,0,0,0,0,0,0.69,0.53,0.67,0.51,fall_down
0,0,0.67,0.57,0.69,0.59,0.69,0.67,0.69,0.74,0.63,0.55,0.61,0.59,0.61,0.63,0.66,0.74,0,0,0,0,0.62,0.69,0.56,0.63,0.49,0.76,0,0,0,0,0.69,0.53,0.67,0.51,fall_down
0,0,0.66,0.57,0.68,0.59,0.68,0.67,0.69,0.74,0.63,0.53,0.61,0.59,0,0,0.63,0.74,0,0,0,0,0.59,0.72,0,0,0,0,0,0,0,0,0.69,0.53,0.67,0.51,fall_down
0,0,0.66,0.57,0.68,0.59,0.68,0.67,0.69,0.74,0.63,0.53,0.59,0.59,0,0,0.63,0.76,0,0,0,0,0.59,0.74,0,0,0,0,0,0,0,0,0.68,0.53,0.67,0.51,fall_down
0,0,0.63,0.57,0.66,0.61,0.67,0.69,0.69,0.74,0.61,0.53,0.57,0.59,0,0,0.63,0.76,0,0,0,0,0.58,0.69,0,0,0,0,0,0,0,0,0.67,0.53,0.64,0.53,fall_down
0,0,0.62,0.57,0.64,0.61,0.67,0.69,0.69,0.76,0.61,0.55,0.56,0.59,0,0,0.62,0.76,0,0,0,0,0.57,0.69,0,0,0,0,0,0,0,0,0.66,0.55,0.63,0.53,fall_down
0,0,0.61,0.57,0.63,0.61,0.66,0.67,0.69,0.74,0.58,0.55,0.53,0.57,0,0,0.59,0.74,0,0,0,0,0.54,0.69,0.52,0.69,0,0,0,0,0,0,0.63,0.55,0.61,0.53,fall_down
0,0,0.59,0.57,0.62,0.59,0.64,0.65,0.68,0.72,0.56,0.53,0.52,0.61,0,0,0.58,0.72,0,0,0,0,0.53,0.67,0,0,0,0,0,0,0,0,0.62,0.53,0,0,fall_down
0.62,0.51,0.58,0.53,0.61,0.55,0.63,0.65,0.63,0.67,0.56,0.49,0.52,0.49,0,0,0.56,0.67,0.56,0.69,0.53,0.78,0.52,0.63,0.53,0.69,0.52,0.74,0.62,0.49,0,0,0.61,0.49,0,0,fall_down
0.62,0.49,0.58,0.51,0.61,0.53,0.62,0.65,0,0,0.56,0.49,0.52,0.47,0,0,0.56,0.65,0.56,0.69,0.54,0.76,0.52,0.61,0.53,0.67,0.52,0.74,0.62,0.49,0,0,0.61,0.47,0,0,fall_down
0.63,0.45,0.58,0.45,0.61,0.47,0.62,0.57,0.61,0.63,0.56,0.43,0.5,0.45,0.49,0.49,0.56,0.61,0.56,0.67,0.53,0.78,0.52,0.57,0.53,0.65,0.52,0.74,0.63,0.43,0,0,0.62,0.43,0,0,fall_down
0.64,0.39,0.59,0.41,0.62,0.43,0.62,0.53,0.62,0.61,0.57,0.39,0.52,0.43,0.5,0.49,0.57,0.55,0.57,0.65,0.54,0.76,0.53,0.53,0.53,0.63,0.52,0.74,0.63,0.39,0,0,0.62,0.37,0,0,fall_down
0.72,0.43,0.76,0.43,0.73,0.45,0.72,0.49,0.69,0.57,0.77,0.43,0.81,0.53,0.78,0.61,0.78,0.53,0.74,0.61,0.77,0.67,0.81,0.53,0.81,0.67,0.87,0.69,0.71,0.41,0.72,0.41,0,0,0.73,0.39,fall_down
0.71,0.45,0.74,0.45,0.72,0.47,0.71,0.51,0.68,0.59,0.76,0.45,0.78,0.55,0.77,0.63,0.78,0.55,0.74,0.63,0,0,0.81,0.55,0.81,0.67,0.87,0.69,0.69,0.45,0.71,0.43,0,0,0.73,0.41,fall_down
0.69,0.47,0.73,0.47,0.71,0.49,0.68,0.53,0.67,0.61,0.74,0.47,0.77,0.57,0.76,0.65,0.78,0.55,0.78,0.65,0,0,0.81,0.55,0.81,0.67,0.87,0.69,0.68,0.47,0.69,0.47,0,0,0.72,0.45,fall_down
0.68,0.51,0.72,0.49,0.69,0.53,0.67,0.55,0.64,0.63,0.74,0.47,0.8,0.51,0.77,0.59,0.77,0.59,0.8,0.67,0,0,0.8,0.57,0.81,0.67,0,0,0.67,0.51,0.68,0.49,0,0,0.71,0.47,fall_down
0.53,0.27,0.48,0.33,0.48,0.33,0.47,0.47,0.5,0.55,0.49,0.33,0.49,0.47,0,0,0.47,0.55,0.47,0.65,0.4,0.74,0.47,0.53,0.47,0.65,0.4,0.74,0.52,0.25,0.53,0.25,0.49,0.25,0,0,fall_down
0.54,0.29,0.5,0.33,0.49,0.33,0.48,0.49,0.52,0.55,0.52,0.33,0.5,0.47,0.53,0.51,0.48,0.53,0.47,0.65,0.4,0.74,0.49,0.53,0.47,0.65,0,0,0.54,0.27,0.56,0.27,0.52,0.27,0,0,fall_down
0.58,0.31,0.54,0.33,0.53,0.33,0.52,0.49,0.54,0.57,0.56,0.35,0.54,0.45,0.56,0.49,0.49,0.55,0.48,0.65,0.42,0.72,0.5,0.53,0.56,0.59,0.53,0.72,0.58,0.29,0.58,0.29,0.56,0.27,0,0,fall_down
0.59,0.31,0.54,0.35,0.54,0.35,0.52,0.49,0.54,0.55,0.56,0.35,0.54,0.45,0.57,0.49,0.49,0.53,0.48,0.65,0.42,0.72,0.52,0.53,0.57,0.59,0.53,0.72,0.59,0.29,0,0,0.56,0.29,0,0,fall_down
0.62,0.33,0.57,0.37,0.56,0.35,0.53,0.51,0.56,0.57,0.58,0.37,0.57,0.47,0.58,0.51,0.5,0.53,0.49,0.67,0.42,0.72,0.53,0.53,0.58,0.61,0,0,0.61,0.31,0,0,0.58,0.31,0,0,fall_down
0.62,0.33,0.57,0.37,0.56,0.35,0.54,0.51,0.56,0.59,0.58,0.37,0.57,0.47,0.58,0.51,0.5,0.53,0.5,0.67,0.42,0.72,0.53,0.53,0.58,0.61,0,0,0.62,0.33,0.63,0.33,0.59,0.31,0,0,fall_down
0.63,0.35,0.58,0.37,0.57,0.37,0.56,0.51,0.57,0.59,0.59,0.39,0.58,0.49,0.59,0.53,0.52,0.53,0.5,0.67,0.43,0.72,0.54,0.53,0.58,0.61,0,0,0.63,0.33,0,0,0.61,0.33,0,0,fall_down
0.64,0.37,0.59,0.39,0.58,0.37,0.56,0.53,0.57,0.59,0.61,0.39,0.58,0.49,0.59,0.55,0.52,0.55,0.5,0.69,0.43,0.72,0.54,0.55,0.58,0.61,0,0,0.63,0.35,0,0,0.61,0.33,0,0,fall_down
0.64,0.39,0.59,0.41,0.58,0.39,0.57,0.53,0.58,0.61,0.61,0.41,0.58,0.53,0.59,0.55,0.52,0.53,0.5,0.67,0.43,0.72,0.54,0.53,0,0,0,0,0.64,0.37,0,0,0.62,0.35,0,0,fall_down
0.66,0.39,0.59,0.41,0.59,0.41,0.57,0.53,0.59,0.59,0.61,0.41,0.58,0.53,0.59,0.55,0.52,0.55,0.5,0.67,0.43,0.72,0.54,0.55,0.59,0.61,0.53,0.72,0.64,0.37,0.66,0.37,0.62,0.37,0,0,fall_down
0.66,0.43,0.61,0.43,0.59,0.43,0.58,0.55,0.58,0.63,0.62,0.43,0,0,0,0,0.52,0.57,0.49,0.67,0.43,0.72,0.54,0.57,0,0,0,0,0.66,0.41,0,0,0.63,0.39,0,0,fall_down
0.67,0.43,0.61,0.43,0.61,0.43,0.58,0.55,0.58,0.63,0.62,0.43,0,0,0,0,0.52,0.57,0.49,0.67,0.42,0.72,0.53,0.55,0,0,0,0,0.67,0.41,0,0,0.63,0.39,0,0,fall_down
0.67,0.45,0.61,0.43,0.61,0.43,0.58,0.55,0.58,0.63,0.62,0.45,0,0,0,0,0.52,0.57,0.49,0.67,0.42,0.72,0.53,0.55,0,0,0,0,0.67,0.43,0,0,0.64,0.41,0,0,fall_down
0.67,0.45,0.62,0.45,0.61,0.45,0.58,0.55,0.58,0.63,0,0,0,0,0,0,0.52,0.57,0.49,0.67,0.42,0.72,0.54,0.57,0,0,0,0,0.67,0.43,0,0,0.64,0.41,0,0,fall_down
0.68,0.47,0.62,0.45,0.62,0.45,0.58,0.57,0.58,0.65,0,0,0,0,0,0,0.53,0.57,0.49,0.67,0.42,0.72,0.53,0.55,0,0,0,0,0.68,0.45,0,0,0.66,0.43,0,0,fall_down
0.68,0.47,0.62,0.45,0.62,0.45,0.59,0.57,0.58,0.65,0.63,0.47,0,0,0,0,0.53,0.57,0.49,0.67,0.42,0.72,0.54,0.57,0,0,0,0,0.68,0.45,0,0,0.66,0.43,0,0,fall_down
0,0,0,0,0.63,0.47,0.59,0.57,0.59,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.47,0,0,0.67,0.45,0,0,fall_down
0.69,0.49,0.63,0.47,0.63,0.47,0.59,0.59,0.59,0.67,0,0,0,0,0,0,0.54,0.57,0.5,0.69,0.43,0.72,0.54,0.55,0,0,0,0,0.69,0.47,0,0,0.67,0.45,0,0,fall_down
0.71,0.51,0.64,0.49,0.64,0.49,0.61,0.61,0.61,0.69,0,0,0,0,0,0,0.54,0.57,0.49,0.67,0.43,0.72,0.57,0.57,0.59,0.61,0.54,0.72,0.69,0.49,0,0,0.68,0.47,0,0,fall_down
0.71,0.51,0.64,0.49,0.64,0.49,0.62,0.61,0.62,0.72,0.66,0.49,0.62,0.63,0.62,0.69,0.56,0.59,0.49,0.67,0.42,0.72,0.58,0.59,0.59,0.63,0.54,0.72,0.71,0.49,0,0,0.68,0.47,0,0,fall_down
0.57,0.49,0.52,0.49,0.52,0.49,0.53,0.59,0.57,0.69,0.5,0.45,0,0,0,0,0.44,0.59,0.52,0.63,0.49,0.74,0.43,0.59,0.45,0.65,0.42,0.69,0.57,0.47,0,0,0.54,0.45,0,0,fall_down
0.58,0.53,0.53,0.53,0.54,0.55,0.57,0.65,0.59,0.72,0.52,0.49,0,0,0,0,0.48,0.63,0.53,0.65,0.49,0.74,0.45,0.61,0,0,0,0,0.58,0.51,0,0,0.56,0.51,0,0,fall_down
0.59,0.55,0.54,0.55,0.56,0.57,0.58,0.67,0.62,0.74,0.53,0.53,0,0,0,0,0.5,0.67,0.57,0.67,0,0,0.48,0.63,0,0,0,0,0.59,0.53,0,0,0.57,0.53,0,0,fall_down
0.61,0.59,0.56,0.59,0.58,0.61,0.61,0.69,0.63,0.76,0.54,0.57,0.49,0.63,0.45,0.72,0.53,0.72,0.59,0.69,0,0,0.49,0.69,0,0,0,0,0.61,0.57,0,0,0.59,0.55,0,0,fall_down
0.62,0.59,0.58,0.59,0.59,0.61,0.62,0.69,0.64,0.76,0.56,0.57,0.5,0.63,0.45,0.72,0.53,0.74,0,0,0,0,0.5,0.69,0,0,0,0,0.62,0.59,0,0,0.61,0.57,0,0,fall_down
0.64,0.61,0.59,0.59,0.62,0.63,0.63,0.72,0.66,0.78,0.58,0.57,0,0,0,0,0.57,0.76,0,0,0,0,0.53,0.74,0,0,0,0,0.63,0.59,0,0,0.63,0.59,0,0,fall_down
0.64,0.59,0.61,0.61,0.63,0.63,0.64,0.72,0.66,0.78,0.58,0.57,0.56,0.65,0,0,0.58,0.74,0,0,0,0,0.54,0.72,0,0,0,0,0,0,0,0,0.64,0.59,0,0,fall_down
0.66,0.59,0.62,0.61,0.64,0.63,0.66,0.72,0.66,0.76,0.59,0.59,0.57,0.65,0.57,0.67,0.61,0.76,0,0,0,0,0.58,0.74,0,0,0,0,0.66,0.59,0,0,0.64,0.59,0,0,fall_down
0.66,0.59,0.62,0.63,0.66,0.63,0.66,0.72,0.66,0.76,0.59,0.61,0.57,0.65,0.57,0.67,0.62,0.76,0,0,0,0,0.58,0.76,0,0,0,0,0.66,0.59,0,0,0.64,0.59,0.63,0.57,fall_down
0,0,0.63,0.65,0.66,0.65,0.67,0.72,0.66,0.76,0.59,0.63,0.58,0.67,0,0,0.62,0.8,0,0,0,0,0.58,0.78,0,0,0,0,0,0,0,0,0.66,0.59,0.62,0.59,fall_down
0,0,0.64,0.65,0.67,0.65,0.68,0.74,0.66,0.78,0.61,0.65,0.58,0.72,0,0,0.64,0.8,0,0,0,0,0.61,0.8,0,0,0,0,0,0,0,0,0.66,0.59,0.62,0.59,fall_down
0.62,0.61,0.66,0.67,0.68,0.65,0.71,0.76,0.68,0.78,0.62,0.67,0.58,0.72,0,0,0.66,0.82,0,0,0,0,0.61,0.82,0,0,0,0,0,0,0.62,0.61,0,0,0.63,0.61,fall_down
0.63,0.63,0.66,0.67,0.69,0.67,0.72,0.76,0.71,0.78,0.63,0.67,0.59,0.72,0,0,0.67,0.82,0,0,0,0,0.62,0.82,0,0,0,0,0,0,0.63,0.61,0,0,0.64,0.61,fall_down
0.64,0.63,0.68,0.69,0.71,0.67,0.73,0.76,0.73,0.78,0.66,0.69,0.62,0.72,0,0,0.72,0.82,0,0,0,0,0.67,0.82,0,0,0,0,0,0,0.66,0.61,0,0,0.67,0.63,fall_down
0.64,0.63,0.68,0.69,0.71,0.67,0.73,0.76,0.73,0.78,0.66,0.69,0.62,0.72,0,0,0.72,0.82,0,0,0,0,0.67,0.82,0,0,0,0,0,0,0.66,0.61,0,0,0.67,0.63,fall_down
0.66,0.63,0.69,0.69,0.71,0.67,0.74,0.76,0,0,0.66,0.69,0.63,0.72,0,0,0.73,0.82,0,0,0,0,0.67,0.82,0,0,0,0,0,0,0.67,0.61,0,0,0.68,0.63,fall_down
0.66,0.63,0.69,0.67,0.72,0.67,0.74,0.76,0.73,0.78,0.67,0.67,0.64,0.76,0,0,0.73,0.82,0,0,0,0,0.68,0.82,0,0,0,0,0,0,0.67,0.61,0,0,0.68,0.61,fall_down
0,0,0.69,0.67,0.72,0.67,0.74,0.76,0.73,0.78,0.66,0.67,0.64,0.74,0,0,0.72,0.82,0,0,0,0,0.66,0.82,0,0,0,0,0,0,0,0,0.71,0.61,0.68,0.61,fall_down
0,0,0.69,0.67,0.72,0.67,0.74,0.76,0.73,0.78,0.66,0.65,0.63,0.74,0,0,0.68,0.82,0,0,0,0,0.63,0.8,0,0,0,0,0,0,0,0,0.71,0.61,0.68,0.61,fall_down
0,0,0.68,0.65,0.72,0.67,0.73,0.74,0.73,0.78,0.66,0.63,0.63,0.67,0,0,0.66,0.8,0,0,0,0,0.62,0.78,0,0,0,0,0,0,0,0,0.71,0.61,0.68,0.59,fall_down
0,0,0.68,0.63,0.71,0.65,0.73,0.74,0.73,0.78,0.66,0.61,0.63,0.67,0,0,0.66,0.78,0,0,0,0,0.62,0.76,0,0,0,0,0,0,0,0,0.72,0.61,0.69,0.59,fall_down
0,0,0.69,0.63,0.72,0.65,0.73,0.74,0.72,0.78,0.67,0.59,0.64,0.63,0,0,0.66,0.76,0,0,0,0,0.63,0.72,0,0,0,0,0,0,0,0,0.72,0.61,0.69,0.59,fall_down
0.72,0.61,0.68,0.61,0.71,0.65,0.73,0.74,0.72,0.78,0.67,0.59,0.64,0.63,0,0,0.66,0.74,0,0,0,0,0.62,0.69,0,0,0,0,0,0,0,0,0.72,0.59,0,0,fall_down
0.64,0.43,0.61,0.43,0.62,0.43,0.64,0.51,0.64,0.57,0.61,0.41,0.64,0.51,0,0,0.57,0.49,0.61,0.53,0,0,0.56,0.49,0,0,0,0,0.64,0.41,0,0,0.64,0.41,0,0,fall_down
0.66,0.43,0.62,0.43,0.63,0.43,0.64,0.51,0.64,0.57,0.61,0.41,0,0,0,0,0.57,0.51,0.63,0.51,0.64,0.57,0.56,0.49,0,0,0,0,0.66,0.43,0,0,0.64,0.41,0,0,fall_down
0.67,0.43,0.64,0.41,0.64,0.43,0.66,0.49,0.67,0.49,0.63,0.39,0,0,0,0,0.58,0.49,0.62,0.53,0,0,0.58,0.47,0.64,0.51,0,0,0.67,0.41,0,0,0.67,0.41,0,0,fall_down
0.68,0.43,0.64,0.41,0.66,0.43,0.66,0.49,0.68,0.51,0,0,0,0,0,0,0.59,0.49,0.64,0.51,0.64,0.57,0.58,0.47,0.64,0.51,0.64,0.57,0.68,0.41,0,0,0.67,0.41,0,0,fall_down
0.69,0.43,0.66,0.41,0.67,0.43,0.66,0.49,0.66,0.57,0,0,0,0,0,0,0.61,0.49,0.64,0.51,0.64,0.57,0.59,0.47,0,0,0,0,0.69,0.41,0,0,0.69,0.41,0,0,fall_down
0.71,0.43,0.67,0.43,0.68,0.43,0.67,0.49,0.66,0.57,0.67,0.41,0.69,0.47,0.71,0.51,0.61,0.47,0.62,0.53,0,0,0.61,0.47,0,0,0,0,0.71,0.43,0,0,0.69,0.41,0,0,fall_down
0.72,0.43,0.69,0.43,0,0,0,0,0,0,0.68,0.41,0.69,0.47,0.71,0.51,0.62,0.45,0.67,0.49,0.66,0.57,0.62,0.45,0,0,0,0,0,0,0,0,0,0,0,0,fall_down
0.72,0.43,0.69,0.43,0,0,0,0,0,0,0.69,0.41,0.69,0.47,0.71,0.51,0.62,0.45,0.67,0.49,0.66,0.57,0.62,0.45,0.67,0.49,0.66,0.57,0,0,0,0,0,0,0,0,fall_down
0.73,0.43,0.69,0.41,0.71,0.43,0.68,0.51,0.69,0.55,0,0,0,0,0,0,0.63,0.45,0.63,0.53,0.62,0.55,0.63,0.45,0.64,0.51,0,0,0.73,0.43,0,0,0.73,0.41,0,0,fall_down
0.73,0.43,0.69,0.41,0.71,0.43,0.69,0.51,0.71,0.55,0,0,0,0,0,0,0.63,0.45,0.63,0.53,0.63,0.55,0.63,0.45,0,0,0,0,0.73,0.43,0,0,0.73,0.41,0,0,fall_down
0.74,0.43,0.71,0.41,0.72,0.43,0.71,0.49,0.71,0.55,0,0,0,0,0,0,0.64,0.45,0.63,0.53,0.63,0.55,0.64,0.45,0,0,0,0,0.74,0.43,0,0,0.73,0.41,0,0,fall_down
0.74,0.43,0.72,0.41,0,0,0,0,0,0,0.71,0.39,0,0,0,0,0.64,0.45,0.63,0.53,0.63,0.55,0.64,0.45,0,0,0,0,0.74,0.41,0,0,0,0,0,0,fall_down
0.74,0.43,0.72,0.41,0,0,0,0,0,0,0.71,0.39,0,0,0,0,0.64,0.43,0.66,0.51,0.64,0.55,0.66,0.45,0,0,0,0,0.74,0.41,0,0,0,0,0,0,fall_down
0.74,0.43,0.72,0.41,0,0,0,0,0,0,0.71,0.39,0,0,0,0,0.64,0.45,0.67,0.51,0,0,0.64,0.45,0,0,0,0,0.74,0.41,0,0,0,0,0,0,fall_down
0.74,0.43,0.72,0.41,0.72,0.41,0.72,0.49,0.72,0.53,0.71,0.39,0.72,0.47,0,0,0.66,0.45,0.71,0.49,0.71,0.57,0.66,0.45,0.71,0.49,0.71,0.55,0.74,0.41,0,0,0.74,0.39,0,0,fall_down
0.74,0.43,0.72,0.41,0.72,0.41,0.72,0.47,0.72,0.53,0.71,0.39,0.72,0.47,0,0,0.66,0.45,0.71,0.49,0.66,0.53,0.66,0.45,0.71,0.47,0.68,0.53,0.74,0.41,0,0,0.74,0.39,0,0,fall_down
0.76,0.43,0.72,0.41,0.72,0.41,0.72,0.47,0.72,0.53,0.71,0.39,0,0,0,0,0.66,0.45,0.71,0.49,0.64,0.53,0.66,0.45,0.71,0.49,0.68,0.55,0.76,0.41,0,0,0.74,0.39,0,0,fall_down
0.76,0.43,0.72,0.41,0.73,0.41,0.72,0.47,0.72,0.51,0.71,0.39,0,0,0,0,0.67,0.45,0.71,0.49,0.67,0.55,0.66,0.45,0.72,0.49,0,0,0.76,0.41,0,0,0.74,0.39,0,0,fall_down
0.76,0.41,0.72,0.39,0.73,0.41,0.73,0.47,0.72,0.53,0.71,0.37,0,0,0,0,0.67,0.45,0.71,0.49,0.67,0.55,0.66,0.43,0.72,0.49,0.72,0.57,0.76,0.41,0,0,0.76,0.39,0,0,fall_down
0.76,0.41,0.73,0.39,0.73,0.41,0.73,0.47,0.73,0.53,0.71,0.37,0,0,0,0,0.67,0.43,0.71,0.49,0.67,0.53,0.66,0.43,0.72,0.49,0,0,0.77,0.41,0.77,0.41,0.76,0.39,0,0,fall_down
0.77,0.39,0.73,0.37,0.74,0.39,0.73,0.45,0.73,0.51,0.72,0.35,0,0,0,0,0.68,0.41,0.69,0.49,0.68,0.53,0.67,0.41,0.69,0.49,0.63,0.51,0.77,0.37,0,0,0.76,0.37,0,0,fall_down
